tweetInteractionCount,tweetId,body,createdAt,crawledAt,language,authorId,keyword,tweetLikesCount,tweetRetweetCount,tweetReplyCount,tweetType,cleanedText,sentiment
0,1601364032585220000,@FlowerP79667758 Charles has done the most damage to Charles remember Tampon-Gate … short term memory loss perhaps,10.12.2022 0:51,10.12.2022 14:01,en,851152688829964000,memory loss,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601364005322250000,@Forbes LEAVE MATT DAMON ALONE!!1!,10.12.2022 0:51,10.12.2022 13:14,en,467222415,Matt Damon,2,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
240,1601364003451640000,"RT @ColdWarPatriot: 😎🇺🇸💥 The Cabal Pedos on the run. Felony warrant has been issued for Sam Brinton, the gender-confused Matt Damon look-al…",10.12.2022 0:51,10.12.2022 13:14,en,1595577516814700000,Matt Damon,0,240,0,retweeted,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601363992769080000,@conservmillen Is Matt Damon filming a movie and we just haven't realized it yet?,10.12.2022 0:51,10.12.2022 13:14,en,45178682,Matt Damon,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601363928281670000,@ClownWorld_ You mean Matt Damon right?,10.12.2022 0:51,10.12.2022 13:14,en,1418310734,Matt Damon,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
1,1601363883637170000,@NuanceBro Matt Damon needs another blockbuster hit bad. My man is looking very desperate these days 😂,10.12.2022 0:51,10.12.2022 13:14,en,23124491,Matt Damon,0,0,1,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601363812359470000,@ClownWorld_ matt damon has really let himself go,10.12.2022 0:50,10.12.2022 13:14,en,33514646,Matt Damon,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601363759137960000,"Secrets and Lies

An attack from Signal Org results in the loss of Cole's memory. He ends up on a farm, and is eventually found by the Rangers and returned to normal just in time to defeat Signal Org. https://t.co/8a1o6ypeQX",10.12.2022 0:50,10.12.2022 14:01,en,1343884901809080000,memory loss,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
3,1601363692901530000,@ClownWorld_ Matt Damon really thinks he can dress up as a woman and get away with theft,10.12.2022 0:50,10.12.2022 13:14,en,149276219,Matt Damon,12,0,3,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
0,1601363603239540000,@FoxNews Geriatric Incontinence and memory loss are a musk also must do what your told by Obama.,10.12.2022 0:50,10.12.2022 14:01,en,1593678420113870000,memory loss,0,0,0,replied_to,0 conservmillen is that matt damon in elysium 1 t jebrafaushay i loved matt damon in the lu 2 realcandaceo why do i keep seeing a bald matt 3 offbeatorbit i m so sorry for your loss ash 4 t james1927 people call these things imp 5 t jebrafaushay i loved matt damon in the lu 6 nuancebro awakeningman is that matt damon 7 tpostmillennial matt damon has really fallen 8 clownworld he s being possessed by the ghost 9 no one can convince me this isn t matt damon h 10 flowers79667758 charles has done the most dam 11 forbes leave mat damon alone 1 12 t coldwarpatriot the cabal pesos on th 13 conservmillen is matt damon filming a movie a 14 clownworld you mean matt damon right 15 nuancebro matt damon needs another blockbuster 16 clownworld matt damon has really let himself go 17 secrets and lies n non attack from signal org 18 clownworld matt damon really thinks he can d 19 foxnews geriatric incontinence and memory los ,-0.4087
